score,kernel,,,,,,,,,,,,,,,,
0.840425532,"['f0', 'f1', 'f2', 'f3', 'f4', 'f5', 'f6', 'f7', 'f8', 'f9', 'f10', 'f11', 'f12', 'f13', 'f14', 'f15', 'f16', 'f17', 'f18', 'f19', 'f20', 'f21', 'f22', 'f23', 'f24', 'f25', 'f26', 'f27', 'f28', 'f30', 'f31', 'f32', 'f33', 'f34', 'f35']",,,,,,,,,,,,,,,,
0.845153664,"['f0', 'f1', 'f2', 'f3', 'f4', 'f5', 'f6', 'f7', 'f8', 'f9', 'f10', 'f11', 'f12', 'f13', 'f14', 'f15', 'f16', 'f17', 'f18', 'f19', 'f20', 'f21', 'f22', 'f23', 'f25', 'f26', 'f27', 'f28', 'f30', 'f31', 'f32', 'f33', 'f34', 'f35']",,,,,,,,,,,,,,,,
0.849881797,"['f0', 'f1', 'f2', 'f3', 'f4', 'f5', 'f6', 'f7', 'f8', 'f10', 'f11', 'f12', 'f13', 'f14', 'f15', 'f16', 'f17', 'f18', 'f19', 'f20', 'f21', 'f22', 'f23', 'f25', 'f26', 'f27', 'f28', 'f30', 'f31', 'f32', 'f33', 'f34', 'f35']",,,,,,,,,,,,,,,,
0.862884161,"['f0', 'f1', 'f2', 'f3', 'f4', 'f5', 'f6', 'f7', 'f8', 'f10', 'f11', 'f13', 'f14', 'f15', 'f16', 'f17', 'f18', 'f19', 'f20', 'f21', 'f22', 'f23', 'f25', 'f26', 'f27', 'f28', 'f30', 'f31', 'f32', 'f33', 'f34', 'f35']",,,,,,,,,,,,,,,,
0.856973995,"['f0', 'f1', 'f2', 'f3', 'f4', 'f6', 'f7', 'f8', 'f10', 'f11', 'f13', 'f14', 'f15', 'f16', 'f17', 'f18', 'f19', 'f20', 'f21', 'f22', 'f23', 'f25', 'f26', 'f27', 'f28', 'f30', 'f31', 'f32', 'f33', 'f34', 'f35']",,,,,,,,,,,,,,,,
0.860520095,"['f0', 'f1', 'f2', 'f3', 'f4', 'f6', 'f7', 'f8', 'f10', 'f13', 'f14', 'f15', 'f16', 'f17', 'f18', 'f19', 'f20', 'f21', 'f22', 'f23', 'f25', 'f26', 'f27', 'f28', 'f30', 'f31', 'f32', 'f33', 'f34', 'f35']",,,,,,,,,,,,,,,,
0.860520095,"['f0', 'f1', 'f2', 'f3', 'f4', 'f6', 'f7', 'f8', 'f10', 'f13', 'f14', 'f15', 'f16', 'f17', 'f18', 'f19', 'f20', 'f21', 'f22', 'f23', 'f25', 'f26', 'f28', 'f30', 'f31', 'f32', 'f33', 'f34', 'f35']",,,,,,,,,,,,,,,,
0.871158392,"['f0', 'f1', 'f2', 'f4', 'f6', 'f7', 'f8', 'f10', 'f13', 'f14', 'f15', 'f16', 'f17', 'f18', 'f19', 'f20', 'f21', 'f22', 'f23', 'f25', 'f26', 'f28', 'f30', 'f31', 'f32', 'f33', 'f34', 'f35']",,,,,,,,,,,,,,,,
0.880614657,"['f0', 'f1', 'f2', 'f4', 'f6', 'f7', 'f8', 'f10', 'f13', 'f14', 'f15', 'f16', 'f17', 'f18', 'f19', 'f20', 'f21', 'f22', 'f25', 'f26', 'f28', 'f30', 'f31', 'f32', 'f33', 'f34', 'f35']",,,,,,,,,,,,,,,,
0.886524823,"['f0', 'f1', 'f2', 'f4', 'f6', 'f7', 'f8', 'f10', 'f13', 'f14', 'f15', 'f16', 'f17', 'f18', 'f19', 'f20', 'f21', 'f22', 'f25', 'f26', 'f28', 'f31', 'f32', 'f33', 'f34', 'f35']",,,,,,,,,,,,,,,,
0.891252955,"['f0', 'f1', 'f2', 'f4', 'f7', 'f8', 'f10', 'f13', 'f14', 'f15', 'f16', 'f17', 'f18', 'f19', 'f20', 'f21', 'f22', 'f25', 'f26', 'f28', 'f31', 'f32', 'f33', 'f34', 'f35']",,,,,,,,,,,,,,,,
0.893617021,"['f0', 'f1', 'f2', 'f4', 'f7', 'f8', 'f10', 'f13', 'f14', 'f16', 'f17', 'f18', 'f19', 'f20', 'f21', 'f22', 'f25', 'f26', 'f28', 'f31', 'f32', 'f33', 'f34', 'f35']",,,,,,,,,,,,,,,,
0.897163121,"['f0', 'f1', 'f2', 'f4', 'f7', 'f8', 'f10', 'f13', 'f14', 'f16', 'f17', 'f18', 'f19', 'f20', 'f22', 'f25', 'f26', 'f28', 'f31', 'f32', 'f33', 'f34', 'f35']",,,,,,,,,,,,,,,,
0.905437352,"['f1', 'f2', 'f4', 'f7', 'f8', 'f10', 'f13', 'f14', 'f16', 'f17', 'f18', 'f19', 'f20', 'f22', 'f25', 'f26', 'f28', 'f31', 'f32', 'f33', 'f34', 'f35']",,,,,,,,,,,,,,,,
0.91607565,"['f1', 'f2', 'f4', 'f7', 'f8', 'f10', 'f13', 'f14', 'f16', 'f17', 'f19', 'f20', 'f22', 'f25', 'f26', 'f28', 'f31', 'f32', 'f33', 'f34', 'f35']",,,,,,,,,,,,,,,,
0.923167849,"['f1', 'f2', 'f4', 'f7', 'f8', 'f10', 'f13', 'f14', 'f16', 'f17', 'f19', 'f20', 'f22', 'f25', 'f26', 'f28', 'f31', 'f32', 'f33', 'f34']",,,,,,,,,,,,,,,,
0.932624113,"['f1', 'f2', 'f4', 'f7', 'f8', 'f10', 'f13', 'f14', 'f16', 'f19', 'f20', 'f22', 'f25', 'f26', 'f28', 'f31', 'f32', 'f33', 'f34']",,,,,,,,,,,,,,,,
0.951536643,"['f1', 'f2', 'f4', 'f7', 'f8', 'f10', 'f13', 'f14', 'f16', 'f19', 'f20', 'f22', 'f25', 'f26', 'f28', 'f31', 'f32', 'f34']",,,,,,,,,,,,,,,,
0.955082742,"['f1', 'f2', 'f4', 'f7', 'f8', 'f10', 'f14', 'f16', 'f19', 'f20', 'f22', 'f25', 'f26', 'f28', 'f31', 'f32', 'f34']",,,,,,,,,,,,,,,,
0.955082742,"['f1', 'f2', 'f4', 'f7', 'f8', 'f10', 'f14', 'f16', 'f19', 'f22', 'f25', 'f26', 'f28', 'f31', 'f32', 'f34']",,,,,,,,,,,,,,,,
0.953900709,"['f1', 'f2', 'f4', 'f7', 'f8', 'f10', 'f14', 'f19', 'f22', 'f25', 'f26', 'f28', 'f31', 'f32', 'f34']",,,,,,,,,,,,,,,,
0.95035461,"['f1', 'f2', 'f4', 'f8', 'f10', 'f14', 'f19', 'f22', 'f25', 'f26', 'f28', 'f31', 'f32', 'f34']",,,,,,,,,,,,,,,,
0.952718676,"['f1', 'f2', 'f4', 'f8', 'f10', 'f14', 'f19', 'f22', 'f25', 'f26', 'f31', 'f32', 'f34']",,,,,,,,,,,,,,,,
0.958628842,"['f1', 'f2', 'f4', 'f8', 'f10', 'f14', 'f19', 'f22', 'f25', 'f26', 'f32', 'f34']",,,,,,,,,,,,,,,,
0.962174941,"['f2', 'f4', 'f8', 'f10', 'f14', 'f19', 'f22', 'f25', 'f26', 'f32', 'f34']",,,,,,,,,,,,,,,,
0.958628842,"['f2', 'f4', 'f8', 'f10', 'f14', 'f19', 'f22', 'f25', 'f26', 'f34']",,,,,,,,,,,,,,,,
0.960992908,"['f2', 'f4', 'f8', 'f10', 'f14', 'f19', 'f22', 'f25', 'f34']",,,,,,,,,,,,,,,,
0.960992908,"['f2', 'f4', 'f8', 'f10', 'f14', 'f19', 'f25', 'f34']",,,,,,,,,,,,,,,,
0.952718676,"['f4', 'f8', 'f10', 'f14', 'f19', 'f25', 'f34']",,,,,,,,,,,,,,,,
0.95035461,"['f4', 'f8', 'f10', 'f14', 'f19', 'f25']",,,,,,,,,,,,,,,,
0.937352246,"['f8', 'f10', 'f14', 'f19', 'f25']",,,,,,,,,,,,,,,,
0.93498818,"['f8', 'f10', 'f14', 'f19']",,,,,,,,,,,,,,,,
0.901891253,"['f10', 'f14', 'f19']",,,,,,,,,,,,,,,,
0.8321513,"['f10', 'f14']",,,,,,,,,,,,,,,,
0.680851064,['f14'],,,,,,,,,,,,,,,,
0.492907801,[],,,,,,,,,,,,,,,,
